instance_id,theorem_name,source_file,declaration_line,category,reason,detail
arxiv-1609-08688-sincreasingrtuples-not-lt-example,Arxiv.«1609.08688».not_lt₂_example,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,80,test,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-not-trans-lt-nat,Arxiv.«1609.08688».not_trans_lt₂_nat,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,84,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-isincreasing-nil,Arxiv.«1609.08688».isIncreasing₂_nil,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,96,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-isincreasing-singleton,Arxiv.«1609.08688».isIncreasing₂_singleton,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,100,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-isincreasing-const-length,Arxiv.«1609.08688».isIncreasing₂_const_length,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,104,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-maximallength-zero,Arxiv.«1609.08688».maximalLength_zero,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,124,test,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-maximallength-one,Arxiv.«1609.08688».maximalLength_one,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,134,test,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-maximallength-four,Arxiv.«1609.08688».maximalLength_four,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,152,test,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-exists-pair-of-mem-icc,Arxiv.«1609.08688».exists_pair_of_mem_Icc,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,158,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-tripleproduct-const,Arxiv.«1609.08688».tripleProduct_const,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,196,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-tripleproduct-vecconst-const,Arxiv.«1609.08688».tripleProduct_vecConst_const,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,201,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-sequenceproduct-example,Arxiv.«1609.08688».sequenceProduct_example,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,216,test,out_of_scope_category,
arxiv-2107-12475-collatzlike-two-not-in-digits-three-pow-eight,Arxiv.«2107.12475».two_not_in_digits_three_pow_eight,FormalConjectures/Arxiv/2107.12475/CollatzLike.lean,48,test,out_of_scope_category,
arxiv-2501-03234-arithmeticsums-s-fst-10,Arxiv.«2501.03234».S_fst_10,FormalConjectures/Arxiv/2501.03234/ArithmeticSumS.lean,50,test,out_of_scope_category,
arxiv-2501-03234-arithmeticsums-conjecture-4-4-def-0,Arxiv.«2501.03234».conjecture_4_4_def_0,FormalConjectures/Arxiv/2501.03234/ArithmeticSumS.lean,99,test,out_of_scope_category,
arxiv-2501-03234-arithmeticsums-conjecture-4-4-def-1,Arxiv.«2501.03234».conjecture_4_4_def_1,FormalConjectures/Arxiv/2501.03234/ArithmeticSumS.lean,108,test,out_of_scope_category,
arxiv-2501-03234-arithmeticsums-conjecture-4-4-def-2,Arxiv.«2501.03234».conjecture_4_4_def_2,FormalConjectures/Arxiv/2501.03234/ArithmeticSumS.lean,117,test,out_of_scope_category,
arxiv-2501-03234-arithmeticsums-conjecture-4-4-def-3,Arxiv.«2501.03234».conjecture_4_4_def_3,FormalConjectures/Arxiv/2501.03234/ArithmeticSumS.lean,126,test,out_of_scope_category,
arxiv-2602-05192-firstproof4-finiteadditiveconvolution-comm,Arxiv.«2602.05192».finiteAdditiveConvolution_comm,FormalConjectures/Arxiv/2602.05192/FirstProof4.lean,56,test,out_of_scope_category,
arxiv-2602-05192-firstproof4-finiteadditiveconvolution-degree,Arxiv.«2602.05192».finiteAdditiveConvolution_degree,FormalConjectures/Arxiv/2602.05192/FirstProof4.lean,63,test,out_of_scope_category,
arxiv-2602-05192-firstproof4-finiteadditiveconvolution-monic,Arxiv.«2602.05192».finiteAdditiveConvolution_monic',FormalConjectures/Arxiv/2602.05192/FirstProof4.lean,69,test,out_of_scope_category,
books-borweinsineseries-borwein-sine-series,BorweinSineSeries.borwein_sine_series,FormalConjectures/Books/BorweinSineSeries.lean,48,research solved,answer_sorry,boolean_answer_non_open
books-uniformdistributionofsequences-equidistribution-isaccumulationpoint-three-halves-pow,Equidistribution.isAccumulationPoint_three_halves_pow,FormalConjectures/Books/UniformDistributionOfSequences/Equidistribution.lean,99,research open,answer_sorry,non_boolean_or_non_open
books-uniformdistributionofsequences-equidistribution-isaccumulationpoint-three-halves-pow-exists,Equidistribution.isAccumulationPoint_three_halves_pow_exists,FormalConjectures/Books/UniformDistributionOfSequences/Equidistribution.lean,107,test,out_of_scope_category,
erdosproblems-1-weaker,Erdos1.erdos_1.variants.weaker,FormalConjectures/ErdosProblems/1.lean,54,textbook,out_of_scope_category,
erdosproblems-1-least-n-3,Erdos1.erdos_1.variants.least_N_3,FormalConjectures/ErdosProblems/1.lean,126,textbook,out_of_scope_category,
erdosproblems-1038-i,Erdos1038.erdos_1038.parts.i,FormalConjectures/ErdosProblems/1038.lean,37,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-1049-lambert-series-eq-num-divisor-sum,Erdos1049.lambert_series_eq_num_divisor_sum,FormalConjectures/ErdosProblems/1049.lean,55,textbook,out_of_scope_category,
erdosproblems-1052-isunitaryperfect-6,Erdos1052.isUnitaryPerfect_6,FormalConjectures/ErdosProblems/1052.lean,53,test,out_of_scope_category,
erdosproblems-1052-isunitaryperfect-60,Erdos1052.isUnitaryPerfect_60,FormalConjectures/ErdosProblems/1052.lean,58,test,out_of_scope_category,
erdosproblems-1052-isunitaryperfect-90,Erdos1052.isUnitaryPerfect_90,FormalConjectures/ErdosProblems/1052.lean,63,test,out_of_scope_category,
erdosproblems-1052-isunitaryperfect-87360,Erdos1052.isUnitaryPerfect_87360,FormalConjectures/ErdosProblems/1052.lean,68,test,out_of_scope_category,
erdosproblems-1052-isunitaryperfect-146361946186458562560000,Erdos1052.isUnitaryPerfect_146361946186458562560000,FormalConjectures/ErdosProblems/1052.lean,75,test,out_of_scope_category,
erdosproblems-1054-f-undefined-at-2,Erdos1054.f_undefined_at_2,FormalConjectures/ErdosProblems/1054.lean,59,textbook,out_of_scope_category,
erdosproblems-1054-f-undefined-at-3,Erdos1054.f_undefined_at_3,FormalConjectures/ErdosProblems/1054.lean,65,textbook,out_of_scope_category,
erdosproblems-1055-exists-p,Erdos1055.exists_p,FormalConjectures/ErdosProblems/1055.lean,44,textbook,out_of_scope_category,
erdosproblems-1056-k2,Erdos1056.erdos_1056.variants.k2,FormalConjectures/ErdosProblems/1056.lean,52,textbook,out_of_scope_category,
erdosproblems-1056-k3,Erdos1056.erdos_1056.variants.k3,FormalConjectures/ErdosProblems/1056.lean,62,textbook,out_of_scope_category,
erdosproblems-1059-isfactorial-equivalent,Erdos1059.isFactorial_equivalent,FormalConjectures/ErdosProblems/1059.lean,52,test,out_of_scope_category,
erdosproblems-1059-factorialslessthann-equivalent,Erdos1059.factorialsLessThanN_equivalent,FormalConjectures/ErdosProblems/1059.lean,73,test,out_of_scope_category,
erdosproblems-1059-allfactorialsubtractionscomposite-equivalent,Erdos1059.allFactorialSubtractionsComposite_equivalent,FormalConjectures/ErdosProblems/1059.lean,81,test,out_of_scope_category,
erdosproblems-1059-allfactorialsubtractionscomposite-101,Erdos1059.allFactorialSubtractionsComposite_101,FormalConjectures/ErdosProblems/1059.lean,88,test,out_of_scope_category,
erdosproblems-1059-allfactorialsubtractionscomposite-211,Erdos1059.allFactorialSubtractionsComposite_211,FormalConjectures/ErdosProblems/1059.lean,95,test,out_of_scope_category,
erdosproblems-1059-notallfactorialsubtractionscomposite-89,Erdos1059.notAllFactorialSubtractionsComposite_89,FormalConjectures/ErdosProblems/1059.lean,102,test,out_of_scope_category,
erdosproblems-1059-testfactorialslessthann,Erdos1059.testFactorialsLessThanN,FormalConjectures/ErdosProblems/1059.lean,113,test,out_of_scope_category,
erdosproblems-1063-better-upper,Erdos1063.erdos_1063.better_upper,FormalConjectures/ErdosProblems/1063.lean,46,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-107-f-zero-eq,Erdos107.f_zero_eq,FormalConjectures/ErdosProblems/107.lean,59,test,out_of_scope_category,
erdosproblems-107-f-three-eq,Erdos107.f_three_eq,FormalConjectures/ErdosProblems/107.lean,65,test,out_of_scope_category,
erdosproblems-1071-ii,Erdos1071.erdos_1071.parts.ii,FormalConjectures/ErdosProblems/1071.lean,57,research solved,answer_sorry,boolean_answer_non_open
erdosproblems-1074-two-not-mem-pillaiprimes,Erdos1074.two_not_mem_pillaiPrimes,FormalConjectures/ErdosProblems/1074.lean,39,test,out_of_scope_category,
erdosproblems-1074-twentythree-mem-pillaiprimes,Erdos1074.twentyThree_mem_pillaiPrimes,FormalConjectures/ErdosProblems/1074.lean,45,test,out_of_scope_category,
erdosproblems-1074-ii,Erdos1074.erdos_1074.parts.ii,FormalConjectures/ErdosProblems/1074.lean,66,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-1074-iv,Erdos1074.erdos_1074.parts.iv,FormalConjectures/ErdosProblems/1074.lean,85,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-1074-mem-pillaiprimes,Erdos1074.erdos_1074.variants.mem_pillaiPrimes,FormalConjectures/ErdosProblems/1074.lean,92,test,out_of_scope_category,
erdosproblems-1074-ehsnumbers-init,Erdos1074.erdos_1074.variants.EHSNumbers_init,FormalConjectures/ErdosProblems/1074.lean,113,test,out_of_scope_category,
erdosproblems-1074-pillaiprimes-init,Erdos1074.erdos_1074.variants.PillaiPrimes_init,FormalConjectures/ErdosProblems/1074.lean,119,test,out_of_scope_category,
erdosproblems-1097-weaker,Erdos1097.erdos_1097.variants.weaker,FormalConjectures/ErdosProblems/1097.lean,48,textbook,out_of_scope_category,
erdosproblems-1097-lower-bound,Erdos1097.erdos_1097.variants.lower_bound,FormalConjectures/ErdosProblems/1097.lean,57,textbook,out_of_scope_category,
erdosproblems-1142-test-4,Erdos1142.erdos_1142.test_4,FormalConjectures/ErdosProblems/1142.lean,75,test,out_of_scope_category,
erdosproblems-1142-test-7,Erdos1142.erdos_1142.test_7,FormalConjectures/ErdosProblems/1142.lean,79,test,out_of_scope_category,
erdosproblems-1142-test-15,Erdos1142.erdos_1142.test_15,FormalConjectures/ErdosProblems/1142.lean,83,test,out_of_scope_category,
erdosproblems-1142-test-21,Erdos1142.erdos_1142.test_21,FormalConjectures/ErdosProblems/1142.lean,88,test,out_of_scope_category,
erdosproblems-1142-test-45,Erdos1142.erdos_1142.test_45,FormalConjectures/ErdosProblems/1142.lean,93,test,out_of_scope_category,
erdosproblems-1142-test-75,Erdos1142.erdos_1142.test_75,FormalConjectures/ErdosProblems/1142.lean,98,test,out_of_scope_category,
erdosproblems-1142-test-105,Erdos1142.erdos_1142.test_105,FormalConjectures/ErdosProblems/1142.lean,104,test,out_of_scope_category,
erdosproblems-1142-test-not-106,Erdos1142.erdos_1142.test_not_106,FormalConjectures/ErdosProblems/1142.lean,108,test,out_of_scope_category,
erdosproblems-1145-test-implies-erdos-28,Erdos1145.erdos_1145.test_implies_erdos_28,FormalConjectures/ErdosProblems/1145.lean,69,test,out_of_scope_category,
erdosproblems-1148-lower-bound,Erdos1148.erdos_1148.variants.lower_bound,FormalConjectures/ErdosProblems/1148.lean,72,textbook,out_of_scope_category,
erdosproblems-1150-parseval-lower-bound,Erdos1150.erdos_1150.variants.parseval_lower_bound,FormalConjectures/ErdosProblems/1150.lean,50,textbook,out_of_scope_category,
erdosproblems-141-first-three-odd-primes,Erdos141.first_three_odd_primes,FormalConjectures/ErdosProblems/141.lean,42,test,out_of_scope_category,
erdosproblems-141-exists-three-consecutive-primes-in-ap,Erdos141.exists_three_consecutive_primes_in_ap,FormalConjectures/ErdosProblems/141.lean,61,test,out_of_scope_category,
erdosproblems-142-erdos-142,Erdos142.erdos_142,FormalConjectures/ErdosProblems/142.lean,37,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-142-upper,Erdos142.erdos_142.variants.upper,FormalConjectures/ErdosProblems/142.lean,55,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-142-three,Erdos142.erdos_142.variants.three,FormalConjectures/ErdosProblems/142.lean,67,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-158-b2-one,Erdos158.b2_one,FormalConjectures/ErdosProblems/158.lean,38,API,out_of_scope_category,
erdosproblems-160-better-upper,Erdos160.erdos_160.better_upper,FormalConjectures/ErdosProblems/160.lean,55,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-160-better-lower,Erdos160.erdos_160.better_lower,FormalConjectures/ErdosProblems/160.lean,65,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-168-f-0,Erdos168.F_0,FormalConjectures/ErdosProblems/168.lean,43,API,out_of_scope_category,
erdosproblems-168-f-1,Erdos168.F_1,FormalConjectures/ErdosProblems/168.lean,46,API,out_of_scope_category,
erdosproblems-168-f-2,Erdos168.F_2,FormalConjectures/ErdosProblems/168.lean,49,API,out_of_scope_category,
erdosproblems-168-f-3,Erdos168.F_3,FormalConjectures/ErdosProblems/168.lean,52,API,out_of_scope_category,
erdosproblems-168-mem-intervalnonternarysets-iff,Erdos168.mem_IntervalNonTernarySets_iff,FormalConjectures/ErdosProblems/168.lean,59,API,out_of_scope_category,
erdosproblems-168-f-eq-card,Erdos168.F_eq_card,FormalConjectures/ErdosProblems/168.lean,71,API,out_of_scope_category,
erdosproblems-168-i,Erdos168.erdos_168.parts.i,FormalConjectures/ErdosProblems/168.lean,90,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-17-isclusterprime-97-isleast-non-cluster,Erdos17.isClusterPrime_97_isLeast_non_cluster,FormalConjectures/ErdosProblems/17.lean,74,test,out_of_scope_category,
erdosproblems-170-trivial-ruler-is-perfect,Erdos170.trivial_ruler_is_perfect,FormalConjectures/ErdosProblems/170.lean,47,API,out_of_scope_category,
erdosproblems-170-erdos170,Erdos170.erdos170,FormalConjectures/ErdosProblems/170.lean,58,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-18-practicalh-one,Erdos18.practicalH_one,FormalConjectures/ErdosProblems/18.lean,45,test,out_of_scope_category,
erdosproblems-18-practicalh-two,Erdos18.practicalH_two,FormalConjectures/ErdosProblems/18.lean,50,test,out_of_scope_category,
erdosproblems-18-practicalh-six,Erdos18.practicalH_six,FormalConjectures/ErdosProblems/18.lean,66,test,out_of_scope_category,
erdosproblems-18-practicalh-twelve,Erdos18.practicalH_twelve,FormalConjectures/ErdosProblems/18.lean,72,test,out_of_scope_category,
erdosproblems-18-practicalh-le-divisors,Erdos18.practicalH_le_divisors,FormalConjectures/ErdosProblems/18.lean,77,test,out_of_scope_category,
erdosproblems-18-factorial-ispractical,Erdos18.factorial_isPractical,FormalConjectures/ErdosProblems/18.lean,84,textbook,out_of_scope_category,
erdosproblems-188-erdos-188,Erdos188.erdos_188,FormalConjectures/ErdosProblems/188.lean,45,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-195-erdos-195,Erdos195.erdos_195,FormalConjectures/ErdosProblems/195.lean,37,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-20-issunflowerwithkernel-empty,Erdos20.isSunflowerWithKernel_empty,FormalConjectures/ErdosProblems/20.lean,40,test,out_of_scope_category,
erdosproblems-20-issunflowerwithkernel-singleton,Erdos20.isSunflowerWithKernel_singleton,FormalConjectures/ErdosProblems/20.lean,44,test,out_of_scope_category,
erdosproblems-20-issunflower-empty,Erdos20.isSunflower_empty,FormalConjectures/ErdosProblems/20.lean,55,test,out_of_scope_category,
erdosproblems-20-issunflower-singleton,Erdos20.isSunflower_singleton,FormalConjectures/ErdosProblems/20.lean,59,test,out_of_scope_category,
erdosproblems-20-f-0-1,Erdos20.f_0_1,FormalConjectures/ErdosProblems/20.lean,71,test,out_of_scope_category,
erdosproblems-219-primearithmeticprogression-3-5-7,Erdos219.primeArithmeticProgression_3_5_7,FormalConjectures/ErdosProblems/219.lean,34,test,out_of_scope_category,
erdosproblems-219-not-primearithmeticprogression-1-2,Erdos219.not_primeArithmeticProgression_1_2,FormalConjectures/ErdosProblems/219.lean,50,test,out_of_scope_category,
erdosproblems-219-empty-not-primearithmeticprogression,Erdos219.empty_not_primeArithmeticProgression,FormalConjectures/ErdosProblems/219.lean,55,API,out_of_scope_category,
erdosproblems-219-singleton-mem-primearithmeticprogressions,Erdos219.singleton_mem_primeArithmeticProgressions,FormalConjectures/ErdosProblems/219.lean,59,API,out_of_scope_category,
erdosproblems-219-pair-mem-primearithmeticprogressions,Erdos219.pair_mem_primeArithmeticProgressions,FormalConjectures/ErdosProblems/219.lean,64,API,out_of_scope_category,
erdosproblems-23-n1,Erdos23.erdos_23.variants.n1,FormalConjectures/ErdosProblems/23.lean,36,test,out_of_scope_category,
erdosproblems-23-n1-tight,Erdos23.erdos_23.variants.n1_tight,FormalConjectures/ErdosProblems/23.lean,46,test,out_of_scope_category,
erdosproblems-23-blowupc5-tight,Erdos23.blowupC5_tight,FormalConjectures/ErdosProblems/23.lean,65,test,out_of_scope_category,
erdosproblems-257-tsum-top-eq,Erdos257.erdos_257.variants.tsum_top_eq,FormalConjectures/ErdosProblems/257.lean,47,textbook,out_of_scope_category,
erdosproblems-26-not-isthick-of-finite,Erdos26.not_isThick_of_finite,FormalConjectures/ErdosProblems/26.lean,38,test,out_of_scope_category,
erdosproblems-26-not-isthick-of-geom-one-lt,Erdos26.not_isThick_of_geom_one_lt,FormalConjectures/ErdosProblems/26.lean,42,test,out_of_scope_category,
erdosproblems-26-isthick-const,Erdos26.isThick_const,FormalConjectures/ErdosProblems/26.lean,47,test,out_of_scope_category,
erdosproblems-26-multiplesof-eq-univ,Erdos26.multiplesOf_eq_univ,FormalConjectures/ErdosProblems/26.lean,55,test,out_of_scope_category,
erdosproblems-26-isbehrend-of-contains-one,Erdos26.isBehrend_of_contains_one,FormalConjectures/ErdosProblems/26.lean,69,test,out_of_scope_category,
erdosproblems-26-isweaklybehrend-of-ge-one,Erdos26.isWeaklyBehrend_of_ge_one,FormalConjectures/ErdosProblems/26.lean,77,test,out_of_scope_category,
erdosproblems-26-not-isweaklybehrend-of-neg,Erdos26.not_isWeaklyBehrend_of_neg,FormalConjectures/ErdosProblems/26.lean,82,test,out_of_scope_category,
erdosproblems-272-erdos-272,Erdos272.erdos_272,FormalConjectures/ErdosProblems/272.lean,48,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-282-greedyunitfractionrem-zero,Erdos282.greedyUnitFractionRem_zero,FormalConjectures/ErdosProblems/282.lean,47,test,out_of_scope_category,
erdosproblems-282-greedyunitfractionrem-one,Erdos282.greedyUnitFractionRem_one,FormalConjectures/ErdosProblems/282.lean,57,test,out_of_scope_category,
erdosproblems-282-general,Erdos282.erdos_282.variants.general,FormalConjectures/ErdosProblems/282.lean,76,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-282-fibonacci,Erdos282.erdos_282.variants.fibonacci,FormalConjectures/ErdosProblems/282.lean,82,textbook,out_of_scope_category,
erdosproblems-282-greedyunitfractionrem-sq-one,Erdos282.greedyUnitFractionRem_sq_one,FormalConjectures/ErdosProblems/282.lean,100,test,out_of_scope_category,
erdosproblems-295-exists-k,Erdos295.exists_k,FormalConjectures/ErdosProblems/295.lean,35,textbook,out_of_scope_category,
erdosproblems-304-zero-mem-unitfractionexpressible-iff,Erdos304.zero_mem_unitFractionExpressible_iff,FormalConjectures/ErdosProblems/304.lean,35,API,out_of_scope_category,
erdosproblems-304-unitfractionexpressible-of-zero,Erdos304.unitFractionExpressible_of_zero,FormalConjectures/ErdosProblems/304.lean,40,API,out_of_scope_category,
erdosproblems-304-unitfractionexpressible-zero-left,Erdos304.unitFractionExpressible_zero_left,FormalConjectures/ErdosProblems/304.lean,54,API,out_of_scope_category,
erdosproblems-304-unitfractionexpressible-zero-right,Erdos304.unitFractionExpressible_zero_right,FormalConjectures/ErdosProblems/304.lean,58,API,out_of_scope_category,
erdosproblems-304-zero-notmem-unitfractionexpressible,Erdos304.zero_notMem_unitFractionExpressible,FormalConjectures/ErdosProblems/304.lean,62,API,out_of_scope_category,
erdosproblems-304-eq-inv-of-one-mem-unitfractionexpressible,Erdos304.eq_inv_of_one_mem_unitFractionExpressible,FormalConjectures/ErdosProblems/304.lean,67,API,out_of_scope_category,
erdosproblems-304-dvd-of-one-mem-unitfractionexpressible,Erdos304.dvd_of_one_mem_unitFractionExpressible,FormalConjectures/ErdosProblems/304.lean,75,API,out_of_scope_category,
erdosproblems-304-smallestcollection-pos,Erdos304.smallestCollection_pos,FormalConjectures/ErdosProblems/304.lean,94,API,out_of_scope_category,
erdosproblems-304-smallestcollection-left-one,Erdos304.smallestCollection_left_one,FormalConjectures/ErdosProblems/304.lean,103,API,out_of_scope_category,
erdosproblems-304-eq-one-of-smallestcollection-eq-one,Erdos304.eq_one_of_smallestCollection_eq_one,FormalConjectures/ErdosProblems/304.lean,111,API,out_of_scope_category,
erdosproblems-304-dvd-of-smallestcollection-eq-one,Erdos304.dvd_of_smallestCollection_eq_one,FormalConjectures/ErdosProblems/304.lean,117,API,out_of_scope_category,
erdosproblems-304-smallestcollection-two-fifteen,Erdos304.smallestCollection_two_fifteen,FormalConjectures/ErdosProblems/304.lean,123,test,out_of_scope_category,
erdosproblems-307-coprime,Erdos307.erdos_307.variants.coprime,FormalConjectures/ErdosProblems/307.lean,59,textbook,out_of_scope_category,
erdosproblems-313-solution-6-2-3,Erdos313.erdos_313.variants.solution_6_2_3,FormalConjectures/ErdosProblems/313.lean,47,test,out_of_scope_category,
erdosproblems-313-solution-42-2-3-7,Erdos313.erdos_313.variants.solution_42_2_3_7,FormalConjectures/ErdosProblems/313.lean,51,test,out_of_scope_category,
erdosproblems-313-exists-at-least-eight-primary-pseudoperfect,Erdos313.erdos_313.variants.exists_at_least_eight_primary_pseudoperfect,FormalConjectures/ErdosProblems/313.lean,72,textbook,out_of_scope_category,
erdosproblems-316-multiset,Erdos316.erdos_316.variants.multiset,FormalConjectures/ErdosProblems/316.lean,56,textbook,out_of_scope_category,
erdosproblems-317-claim2-inequality,Erdos317.claim2_inequality,FormalConjectures/ErdosProblems/317.lean,57,textbook,out_of_scope_category,
erdosproblems-317-counterexample,Erdos317.erdos_317.variants.counterexample,FormalConjectures/ErdosProblems/317.lean,68,textbook,out_of_scope_category,
erdosproblems-318-squares,Erdos318.erdos_318.variants.squares,FormalConjectures/ErdosProblems/318.lean,58,test,out_of_scope_category,
erdosproblems-319-erdos-319,Erdos319.erdos_319,FormalConjectures/ErdosProblems/319.lean,42,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-319-istheta,Erdos319.erdos_319.variants.isTheta,FormalConjectures/ErdosProblems/319.lean,66,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-319-isbigo,Erdos319.erdos_319.variants.isBigO,FormalConjectures/ErdosProblems/319.lean,85,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-319-islittleo,Erdos319.erdos_319.variants.isLittleO,FormalConjectures/ErdosProblems/319.lean,104,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-321-erdos-321,Erdos321.erdos_321,FormalConjectures/ErdosProblems/321.lean,44,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-321-istheta,Erdos321.erdos_321.variants.isTheta,FormalConjectures/ErdosProblems/321.lean,62,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-321-isbigo,Erdos321.erdos_321.variants.isBigO,FormalConjectures/ErdosProblems/321.lean,70,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-321-islittleo,Erdos321.erdos_321.variants.isLittleO,FormalConjectures/ErdosProblems/321.lean,78,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-329-erdos-329,Erdos329.erdos_329,FormalConjectures/ErdosProblems/329.lean,47,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-329-exists-sidon-pos-density,Erdos329.exists_sidon_pos_density,FormalConjectures/ErdosProblems/329.lean,108,textbook,out_of_scope_category,
erdosproblems-33-erdos-33,Erdos33.erdos_33,FormalConjectures/ErdosProblems/33.lean,44,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-332-erdos-332,Erdos332.erdos_332,FormalConjectures/ErdosProblems/332.lean,51,research open,answer_sorry,non_boolean_or_non_open
erdosproblems-340-greedysidon-go-singleton-two,Erdos340.greedySidon_go_singleton_two,FormalConjectures/ErdosProblems/340.lean,42,test,out_of_scope_category,
erdosproblems-340-greedysidon-go-pair-three,Erdos340.greedySidon_go_pair_three,FormalConjectures/ErdosProblems/340.lean,46,test,out_of_scope_category,
erdosproblems-340-greedysidon-zero,Erdos340.greedySidon_zero,FormalConjectures/ErdosProblems/340.lean,69,test,out_of_scope_category,
erdosproblems-340-greedysidon-one,Erdos340.greedySidon_one,FormalConjectures/ErdosProblems/340.lean,72,test,out_of_scope_category,
erdosproblems-340-greedysidon-two,Erdos340.greedySidon_two,FormalConjectures/ErdosProblems/340.lean,76,test,out_of_scope_category,
